NOME DE PREGÃO,SEGMENTO,Demonstrações Financeiras do Exercício,Unnamed: 3,Unnamed: 4,Unnamed: 5,Assembléia Geral Ordinária,Unnamed: 7,Formulário de Referência,Unnamed: 9,Reunião Pública com Analistas,Unnamed: 11,Informações do 1º Trimestre - ITR,Unnamed: 13,Informações do 2º Trimestre - ITR,Unnamed: 15,Informações do 3º Trimestre - ITR,Unnamed: 17,Apresentação Pública sobre Divulgação de Resultados,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Atualizado,18/02/2021
,,Demonstrações Financeiras Anuais Completas,,Padronizadas - DFP,,,,,,,,,,,,,,Exercício Social,,1º trimestre,,2º trimestre,,3º trimestre,,,,
,,Previsão,Entrega,Previsão,Entrega,Previsão,Realização ,Previsão,Entrega,Previsão,Disponibilização do Material,Previsão,Entrega,Previsão,Entrega,Previsão,Entrega,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,,,
RUMO S.A.,NM,11/02/2021,,11/02/2021,12/02/2021,27/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,12/02/2021,12/02/2021,14/05/2021,,13/08/2021,,12/11/2021,,,,
SABESP,NM,25/03/2021,,25/03/2021,,29/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,30/03/2021,,18/05/2021,,17/08/2021,,17/11/2021,,,,
SANEPAR,N2,11/02/2021,,11/02/2021,11/02/2021,22/04/2021,,24/05/2021,,25/08/2021,11/02/2021,13/05/2021,,12/08/2021,,11/11/2021,,,,,,,,,,,,
SANTOS BRP,NM,16/03/2021,,16/03/2021,,28/04/2021,,27/05/2021,,,,11/05/2021,,10/08/2021,,09/11/2021,,17/03/2021,,12/05/2021,,11/08/2021,,10/11/2021,,,,
SAO CARLOS,NM,04/03/2021,,04/03/2021,,30/04/2021,,31/05/2021,,,,06/05/2021,,05/08/2021,,04/11/2021,,05/03/2021,,07/05/2021,,06/08/2021,,05/11/2021,,,,
SAO MARTINHO,NM,21/06/2021,,21/06/2021,,30/07/2021,,31/08/2021,,,,09/08/2021,,08/11/2021,,14/02/2022,,22/06/2021,09/02/2021,10/08/2021,,09/11/2021,,15/02/2022,,,,
SARAIVA LIVR,N2,30/03/2021,,30/03/2021,,30/04/2021,,31/05/2021,,01/12/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,,,,,,,,,
SEQUOIA LOG,NM,25/02/2021,,25/02/2021,,26/04/2021,,31/05/2021,,,,29/04/2021,,12/08/2021,,04/11/2021,,26/02/2021,,30/04/2021,,13/08/2021,,05/11/2021,,,,
SER EDUCA,NM,26/03/2021,,26/03/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,26/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
SIMPAR,NM,16/03/2021,,16/03/2021,,30/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,17/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
